# Usage:
# link = { eu4 = eu4religion ck3 = ck3faith }
# multiple ck3 entires are allowed (and encouraged), multiple eu4 are not.

# Akom  
link = { eu4 = shamanism ck3 = west_african_bori_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = west_african_bori_reformed }
# West African Orisha  
link = { eu4 = shamanism ck3 = west_african_orisha_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = west_african_orisha_reformed }
# West African Roog  
link = { eu4 = shamanism ck3 = west_african_roog_pagan }
link = { eu4 = west_african_pagan_reformed ck3 = west_african_roog_reformed }
# Yazidi  
link = { eu4 = yazidi ck3 = yazidi }
link = { eu4 = meshefaresism ck3 = meshefaresism }
link = { eu4 = kitebacilweism ck3 = kitebacilweism }
# Zoroastrianism  
link = { eu4 = zoroastrian ck3 = mazdayasna }
link = { eu4 = zurvanism ck3 = zurvanism }
link = { eu4 = zurvanism ck3 = urartuism }
link = { eu4 = gayomarthianism ck3 = gayomarthianism }
link = { eu4 = khurmatza ck3 = khurmatza }
link = { eu4 = mazdaki ck3 = mazdakism }
link = { eu4 = khurramism ck3 = khurramism }
# Zunism  
link = { eu4 = zun_pagan ck3 = zun_pagan }
link = { eu4 = zun_pagan_reformed ck3 = zun_pagan_reformed }
